Area_Name,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
Abbeville County,6.0,5.0,6.0,5.0,1633.0,2177.0,2136.0,3332.0,849.0,1127.0,1602.0,3162.0,5024.0,6135.0,5568.0,6462.0,8035.0,7493.0,6183.0,5102.0,4168.0,2380.0,7.6,8.7,6.7,9.5,14.7,21.4,30.64610352,29.38515081,33.4,35.9,32.52716439,37.48259861,41.1,29.9,24.34863886,13.80510441,10.8,12.8,12.47809324,19.32714617,14.3,24.3,71.5,57.5,748.0,1238.0,2221.0,3654.0,5246.0,5066.0
Acadia Parish,2.0,2.0,2.0,4.0,2780.0,3361.0,3874.0,5071.0,1261.0,2201.0,5066.0,7744.0,11038.0,13535.0,15139.0,16437.0,18598.0,17914.0,14955.0,12558.0,11338.0,7296.0,4.8,7.4,4.7,6.9,12.6,17.2,22.31436689,23.73639757,33.5,38.0,38.7493921,43.51981784,45.4,35.3,29.020451,19.31742964,8.4,9.4,9.915790013,13.42635495,19.4,25.9,71.1,59.9,1240.0,2063.0,4146.0,6119.0,8718.0,8965.0
Accomack County,8.0,6.0,9.0,9.0,1993.0,3508.0,4212.0,5314.0,792.0,1580.0,3349.0,4682.0,7256.0,8828.0,9255.0,8508.0,12018.0,11565.0,8758.0,8303.0,5000.0,4201.0,4.6,8.0,6.8,9.3,16.8,20.3,22.66102689,26.08071528,33.5,34.1,38.7595276,34.89459437,40.5,32.1,20.9397772,17.22992371,9.2,13.5,17.63966831,21.79476663,19.3,23.8,69.3,58.8,1178.0,1828.0,3636.0,5255.0,5411.0,6359.0
Ada County,2.0,2.0,2.0,4.0,31780.0,58820.0,90216.0,153355.0,8122.0,21475.0,21833.0,33351.0,33194.0,43535.0,55412.0,68395.0,18137.0,17805.0,16301.0,17377.0,17187.0,17238.0,13.6,22.1,19.2,25.2,36.3,36.5,36.23699793,31.58498916,26.0,23.1,21.70092111,19.57941263,12.8,9.2,6.730919857,4.934716207,24.9,31.2,35.3311611,43.900882,36.7,34.3,30.5,18.3,11460.0,24528.0,46313.0,68930.0,92529.0,110333.0
Adair County,8.0,7.0,8.0,6.0,566.0,638.0,847.0,1052.0,398.0,531.0,2392.0,2809.0,2622.0,2754.0,2308.0,2130.0,2568.0,1896.0,1298.0,695.0,499.0,287.0,6.7,8.8,9.3,13.2,22.2,28.2,33.07692308,34.0117938,45.4,48.4,42.27106227,40.51740536,22.5,12.2,9.139194139,5.459387483,9.8,11.2,15.51282051,20.01141335,40.5,46.6,43.5,31.4,549.0,797.0,1283.0,1608.0,1806.0,1788.0
Adams County,1.0,1.0,1.0,1.0,21157.0,38776.0,56936.0,96383.0,7438.0,14161.0,35821.0,57185.0,56948.0,68641.0,82160.0,98198.0,32417.0,34675.0,34411.0,47240.0,51961.0,51641.0,8.6,10.8,12.8,19.0,30.8,30.7,30.68302204,28.41301592,35.0,30.8,29.80829234,28.55024597,21.2,21.2,18.8518583,15.01418819,13.0,17.4,20.65682732,28.02254992,41.3,43.7,37.3,26.5,11147.0,24897.0,50146.0,68437.0,84571.0,97726.0
Addison County,6.0,6.0,6.0,6.0,4993.0,6694.0,8432.0,11408.0,1549.0,3241.0,3540.0,5554.0,7221.0,7592.0,8154.0,7596.0,5149.0,4686.0,3587.0,3057.0,2273.0,1286.0,13.3,20.5,12.2,14.9,20.5,22.8,23.61994249,22.68119808,36.3,33.8,33.02417885,28.94596448,18.0,13.6,9.205783484,4.900541117,25.1,29.8,34.15009518,43.47229632,30.4,35.1,44.2,29.6,1420.0,2354.0,4073.0,5125.0,5832.0,5952.0
Adjuntas Municipio,6.0,5.0,6.0,6.0,807.0,1182.0,1919.0,2249.0,,406.0,,1311.0,1690.0,2404.0,3226.0,4134.0,,6408.0,6455.0,5737.0,4908.0,3999.0,,4.8,,4.9,10.2,13.9,19.30486434,21.72208399,16.9,22.2,25.89500722,31.16941868,64.7,53.0,39.39637181,30.15154942,8.1,10.9,15.40375662,16.9569479,,15.4,,75.0,,415.0,1021.0,1510.0,2405.0,2881.0
Aguada Municipio,2.0,2.0,2.0,4.0,1799.0,3132.0,5553.0,6806.0,,611.0,,2048.0,3459.0,5261.0,6223.0,7418.0,,10123.0,11790.0,12095.0,11099.0,8676.0,,4.5,,5.8,9.4,16.4,17.33819969,20.53026097,18.4,21.5,22.48762332,25.74264298,62.7,49.3,40.10768619,30.10827318,9.6,12.8,20.0664908,23.61882288,,15.1,,74.6,,792.0,1761.0,4030.0,4798.0,5916.0
Aguadilla Municipio,2.0,2.0,2.0,4.0,3996.0,6225.0,8639.0,10256.0,,2219.0,,5310.0,7024.0,9089.0,10614.0,13028.0,,18100.0,18639.0,17772.0,13981.0,8985.0,,8.1,,6.7,11.2,16.6,18.16301404,19.85843785,21.0,22.9,26.1364196,32.35564386,55.8,44.8,34.42748092,22.31466534,12.0,15.7,21.27308545,25.47125295,,19.3,,65.9,,1847.0,3744.0,6581.0,7376.0,7996.0
Aguas Buenas Municipio,1.0,1.0,1.0,1.0,1166.0,2120.0,2763.0,3619.0,,511.0,,1568.0,3031.0,3898.0,5604.0,5777.0,,7686.0,7811.0,7806.0,6806.0,4289.0,,5.0,,4.1,11.0,18.9,18.42911671,22.74036019,22.5,22.9,30.1274125,32.61446395,57.9,45.8,36.58943068,24.21385423,8.6,12.4,14.85404011,20.43132163,,15.4,,75.5,,421.0,1488.0,3226.0,3428.0,4028.0
Aibonito Municipio,1.0,1.0,1.0,1.0,1645.0,2282.0,3824.0,4346.0,,770.0,,2055.0,2827.0,4018.0,4734.0,6767.0,,6648.0,6983.0,6247.0,4996.0,3954.0,,7.6,,6.9,13.7,19.1,19.64666825,18.98155616,21.3,25.9,28.0649751,36.3875894,52.6,40.3,29.618212,21.26149379,12.4,14.7,22.67014465,23.36936065,,20.2,,65.3,,703.0,1817.0,2959.0,3314.0,3530.0
Aiken County,2.0,2.0,2.0,4.0,13128.0,18536.0,26024.0,37801.0,4640.0,8064.0,11277.0,17681.0,24305.0,29503.0,34406.0,36211.0,26495.0,27318.0,22366.0,20705.0,16979.0,12384.0,9.9,13.3,9.3,12.4,21.6,26.0,29.04115868,29.02711717,31.9,31.8,31.53909616,29.74673666,29.3,22.3,15.56421304,10.17325086,17.2,19.9,23.85553213,31.05289532,24.1,29.2,56.6,45.1,4370.0,7541.0,16461.0,24178.0,31681.0,35335.0
Aitkin County,8.0,4.0,8.0,3.0,847.0,1273.0,1820.0,2373.0,344.0,718.0,1831.0,3361.0,3545.0,4460.0,5149.0,4709.0,4212.0,3274.0,2620.0,2206.0,1313.0,806.0,4.9,8.4,8.6,13.6,21.1,29.5,33.73339734,36.99680511,39.9,39.6,41.19859177,37.61182109,29.5,19.6,10.50568091,6.437699681,9.5,11.3,14.56232997,18.95367412,26.2,39.5,60.3,38.5,602.0,1159.0,1879.0,3324.0,4216.0,4632.0
Alabama,,,,,399228.0,549608.0,705001.0,957081.0,141936.0,270063.0,468269.0,704207.0,749591.0,877216.0,991406.0,1046374.0,1062306.0,964840.0,843638.0,714081.0,551030.0,409381.0,7.8,12.2,7.5,12.5,21.7,25.9,29.02286617,30.02828639,29.4,30.4,31.30995723,30.34461599,33.1,24.7,17.40228093,11.87195901,15.7,19.0,22.26489567,27.75513862,25.9,31.8,58.7,43.5,136287.0,278205.0,553512.0,746495.0,918987.0,1035466.0
Alachua County,2.0,2.0,2.0,4.0,35534.0,47803.0,60012.0,81947.0,10816.0,22278.0,11494.0,19965.0,22267.0,25033.0,30620.0,34077.0,18825.0,18559.0,17727.0,14758.0,13479.0,9925.0,23.1,29.4,12.2,19.8,26.4,29.1,28.50550401,26.73337018,21.7,20.3,21.02718701,19.82315814,17.3,11.9,9.256219913,5.77353771,34.6,38.7,41.21108906,47.66993398,24.5,26.3,40.2,24.5,5726.0,15015.0,27119.0,35930.0,41510.0,45956.0
Alamance County,3.0,2.0,3.0,4.0,10569.0,16629.0,21739.0,32545.0,4500.0,7194.0,11328.0,17513.0,21763.0,27020.0,28626.0,33739.0,32349.0,28078.0,23264.0,20316.0,17977.0,13458.0,8.5,11.8,8.5,13.5,23.2,26.2,31.59164389,32.10731101,30.1,31.2,28.65379418,28.72553277,32.1,23.5,17.99445462,11.4582003,14.6,19.2,21.7601073,27.70895592,21.5,28.7,61.4,46.0,4492.0,8240.0,16816.0,22670.0,31561.0,37711.0
Alameda County,1.0,1.0,1.0,1.0,241487.0,332954.0,421610.0,612435.0,86038.0,151045.0,197371.0,215093.0,190822.0,181668.0,199632.0,188746.0,217589.0,162536.0,155606.0,168281.0,141402.0,132081.0,14.6,22.3,14.9,22.0,29.9,28.4,25.60949678,21.56816276,22.8,19.0,19.47268311,15.86231471,18.6,17.6,13.79276037,11.10015783,28.8,34.9,41.12505975,51.4693647,33.5,31.7,37.0,24.0,87675.0,148837.0,250389.0,270813.0,262546.0,256640.0
Alamosa County,7.0,11.0,7.0,7.0,1807.0,2310.0,2173.0,2928.0,916.0,1238.0,1528.0,1922.0,2064.0,2320.0,2727.0,2520.0,2066.0,1753.0,1727.0,1489.0,1305.0,1089.0,17.8,20.6,12.3,18.4,25.3,28.6,34.15747029,34.571114,27.6,27.1,28.93675722,25.22270043,23.1,17.4,13.84762309,10.89980983,24.1,27.0,23.05814941,29.30637574,29.7,31.9,40.2,29.1,633.0,1109.0,1893.0,2448.0,3219.0,3454.0
Alaska,,,,,74497.0,93807.0,122968.0,152432.0,19082.0,44554.0,50820.0,82180.0,92925.0,105812.0,121272.0,141206.0,44994.0,36941.0,43244.0,44282.0,37652.0,31854.0,14.1,21.1,14.9,22.6,34.9,35.7,37.01342664,33.28755921,28.7,27.9,27.09728451,28.94140844,13.4,11.7,8.413046344,6.528756741,23.0,24.7,27.47624251,31.24227562,37.7,38.9,33.3,17.5,20052.0,47722.0,112763.0,135655.0,165651.0,162411.0
Albany County,2.0,2.0,2.0,4.0,54173.0,65086.0,77610.0,96130.0,22245.0,38743.0,52113.0,59034.0,55761.0,52796.0,52442.0,45949.0,70521.0,49153.0,36551.0,26717.0,17100.0,14567.0,13.8,22.3,10.4,15.4,23.4,26.0,27.50275895,26.42135127,29.2,27.0,25.8365521,21.58283857,19.1,13.7,8.424641337,6.842307981,28.3,33.3,38.23604761,45.15350218,32.2,34.0,43.6,28.3,16857.0,26707.0,44633.0,50782.0,55824.0,56250.0
Albemarle County,3.0,2.0,3.0,4.0,16590.0,25675.0,34169.0,47238.0,3973.0,10049.0,3823.0,6910.0,8418.0,9591.0,11698.0,11401.0,9035.0,9189.0,7773.0,6759.0,6072.0,4327.0,21.1,32.7,10.8,14.8,22.1,22.0,20.61291555,19.22257858,20.0,17.8,17.88001528,14.62604233,18.5,12.6,9.280855942,5.550994227,39.4,47.7,52.22621322,60.60038486,20.3,22.5,47.9,29.9,2040.0,4547.0,9321.0,11822.0,13486.0,14984.0
Alcona County,9.0,10.0,9.0,9.0,664.0,977.0,1160.0,1760.0,217.0,446.0,1103.0,2702.0,2910.0,3750.0,3554.0,3201.0,2626.0,2612.0,2317.0,1814.0,1216.0,606.0,5.0,7.0,8.6,10.0,20.0,27.0,32.76643991,34.69028625,39.5,41.9,40.29478458,37.55279212,31.4,20.3,13.78684807,7.109338339,9.0,10.9,13.15192744,20.64758329,25.6,42.2,60.8,40.8,370.0,638.0,1477.0,2417.0,2890.0,2957.0
Alcorn County,7.0,8.0,7.0,7.0,1982.0,2708.0,4276.0,4431.0,847.0,1699.0,3746.0,6008.0,6123.0,8068.0,8787.0,8399.0,9888.0,9841.0,9070.0,7399.0,5334.0,3984.0,5.5,8.7,6.3,10.1,17.2,21.5,26.33833834,30.04368629,29.5,34.8,35.18318318,34.94487206,43.7,31.9,21.35735736,16.57582692,9.6,11.7,17.12112112,18.43561473,24.2,30.8,64.0,50.4,974.0,1973.0,3571.0,4984.0,6578.0,7221.0
Aleutian Islands,,,,,,,,,390.0,574.0,1112.0,1544.0,,,,,1237.0,857.0,,,,,12.5,15.3,12.2,20.5,,,,,,,,,,,,,,,,,35.7,41.2,39.7,22.9,380.0,769.0,,,,
Aleutians East Borough,9.0,12.0,9.0,9.0,198.0,98.0,382.0,473.0,,,,,481.0,983.0,939.0,1030.0,,,514.0,507.0,495.0,420.0,,,,,22.1,20.9,25.23672293,26.23705409,31.4,49.0,38.6578839,39.50901419,33.6,25.3,20.37875669,16.11047181,12.9,4.9,15.72663648,18.14345992,,,,,,,338.0,419.0,613.0,684.0
Aleutians West Census Area,9.0,11.0,9.0,9.0,810.0,469.0,483.0,687.0,,,,,1767.0,1462.0,1354.0,1520.0,,,774.0,913.0,845.0,373.0,,,,,38.7,33.1,33.48214286,34.20045907,32.3,34.4,33.58134921,38.76562102,14.2,21.5,20.95734127,9.512879368,14.8,11.0,11.97916667,17.52104055,,,,,,,2116.0,1407.0,1350.0,1341.0
Alexander County,3.0,2.0,3.0,4.0,527.0,439.0,488.0,447.0,251.0,507.0,1880.0,2200.0,2112.0,2219.0,1991.0,1456.0,4792.0,3923.0,2708.0,2112.0,1278.0,475.0,3.4,6.8,4.9,10.5,20.5,25.4,31.35391924,33.20224719,31.4,34.7,36.37858578,40.8988764,40.3,33.0,23.3509958,13.34269663,7.8,6.9,8.916499178,12.55617978,25.8,29.7,65.8,53.0,356.0,775.0,1377.0,1625.0,1716.0,1182.0
Alexandria city,1.0,1.0,1.0,1.0,39824.0,51982.0,64391.0,78211.0,15660.0,28885.0,17738.0,16329.0,12812.0,12115.0,13428.0,12650.0,18930.0,11988.0,10741.0,12597.0,8886.0,8497.0,25.5,40.9,14.9,18.9,22.7,19.9,18.54402315,16.4665725,15.6,12.7,12.61508399,10.63525693,13.1,13.2,8.348051558,7.143697875,48.5,54.3,60.49284131,65.75447269,28.8,23.1,30.8,17.0,9173.0,13350.0,18657.0,19036.0,19739.0,19586.0
Alfalfa County,9.0,10.0,8.0,6.0,795.0,679.0,887.0,899.0,458.0,693.0,1648.0,1702.0,1752.0,1854.0,1667.0,1543.0,2058.0,1576.0,1043.0,843.0,606.0,615.0,9.6,14.8,13.2,15.4,21.9,25.7,26.88570106,29.59465684,38.1,40.8,38.57010643,35.53661907,22.7,18.6,14.02128644,14.16397973,17.3,14.9,20.52290606,20.70474436,34.4,36.3,42.9,33.6,631.0,724.0,1007.0,1167.0,1162.0,1285.0
Alger County,7.0,10.0,9.0,9.0,691.0,1052.0,1236.0,1385.0,277.0,527.0,1675.0,2395.0,2507.0,3035.0,3267.0,2813.0,2538.0,2042.0,1621.0,1323.0,937.0,436.0,5.9,9.5,4.7,10.5,19.8,24.5,25.25419071,32.23164668,41.7,42.3,44.88870569,41.13775958,27.0,18.5,12.87441605,6.376133372,11.5,14.7,16.98268755,20.25446037,35.6,43.2,53.9,36.8,220.0,584.0,1190.0,1759.0,1838.0,2204.0
Allamakee County,6.0,6.0,8.0,6.0,820.0,1437.0,1380.0,1920.0,373.0,839.0,3110.0,3851.0,4380.0,4405.0,4417.0,3987.0,4240.0,3347.0,2216.0,1846.0,1141.0,721.0,4.5,9.4,7.8,9.9,19.3,22.7,30.70315621,31.45811789,47.7,44.3,44.11705953,41.23061013,24.1,18.6,11.39632441,7.456049638,8.9,14.4,13.78345985,19.85522234,37.1,43.2,50.6,37.5,657.0,886.0,1769.0,2258.0,3074.0,3042.0
Allegan County,4.0,5.0,4.0,2.0,6675.0,10595.0,14737.0,21702.0,1844.0,4649.0,10978.0,18547.0,22010.0,26190.0,28873.0,30242.0,18225.0,16123.0,14248.0,11835.0,7347.0,6617.0,5.4,10.2,8.5,14.1,23.0,27.4,31.07492121,29.66237073,39.5,39.1,39.05398277,36.32367248,25.6,17.7,9.93764456,7.947680075,12.0,15.8,19.93345146,26.06627671,32.4,40.5,53.7,35.2,2884.0,6470.0,12807.0,18305.0,22974.0,24696.0
Allegany County,3.0,2.0,4.0,5.0,5901.0,7208.0,8347.0,10125.0,3275.0,4654.0,17119.0,20370.0,19368.0,21708.0,22139.0,19534.0,25189.0,20435.0,14472.0,10290.0,6772.0,4925.0,6.7,9.3,7.2,9.5,20.3,23.4,27.91471578,27.84778436,38.8,42.4,42.83364934,40.75356755,29.0,20.1,13.10219402,10.27497288,11.8,14.1,16.14944085,21.12367521,34.9,40.5,51.3,40.7,3511.0,4782.0,10116.0,11999.0,14428.0,13348.0
Alleghany County,9.0,10.0,9.0,9.0,610.0,914.0,1210.0,1967.0,159.0,312.0,927.0,1458.0,1797.0,2488.0,2770.0,2560.0,3507.0,3769.0,3218.0,2503.0,1933.0,1455.0,3.3,5.1,5.9,9.6,17.1,24.6,27.152889,30.58714319,26.5,31.8,34.12590859,29.70526804,47.4,32.0,23.81421708,16.88326758,9.0,11.7,14.90698534,22.82432119,19.0,23.8,71.9,61.5,286.0,589.0,1160.0,1924.0,2204.0,2636.0
Allegheny County,1.0,1.0,1.0,1.0,209645.0,252583.0,302295.0,403248.0,102898.0,151927.0,332769.0,372084.0,329546.0,301774.0,271276.0,228685.0,420114.0,285111.0,194260.0,121836.0,63646.0,40798.0,11.1,16.5,7.9,12.1,20.9,24.1,26.01211038,25.29983622,35.6,33.9,31.4981219,25.393221,21.0,13.7,7.389999361,4.530216806,22.6,28.3,35.09976836,44.77672598,35.8,40.4,45.2,31.0,72988.0,111642.0,193375.0,214978.0,224028.0,227844.0
Allen County,2.0,2.0,2.0,4.0,35670.0,47392.0,59833.0,79250.0,14665.0,24929.0,54181.0,68627.0,62841.0,66688.0,68841.0,71260.0,58479.0,44484.0,35401.0,29885.0,24881.0,24616.0,10.2,15.0,11.6,17.0,28.7,31.0,32.27646006,31.1984851,33.5,31.9,30.36147448,27.99581988,18.8,14.3,10.97345835,9.670854646,19.0,22.7,26.38860711,31.13484038,37.6,41.2,40.6,26.7,16706.0,28349.0,53944.0,64804.0,73183.0,79412.0
Allen Parish,6.0,6.0,6.0,6.0,895.0,1557.0,1716.0,1864.0,377.0,891.0,2228.0,3769.0,4941.0,6389.0,7344.0,6811.0,7548.0,6537.0,5685.0,6182.0,4614.0,3326.0,3.5,7.4,4.6,6.8,13.1,16.0,23.39066614,25.1621352,37.3,38.0,41.14516219,42.47318533,42.9,36.8,25.85018769,20.74083313,6.7,9.3,9.613983977,11.62384635,20.9,31.4,70.9,54.4,487.0,813.0,1741.0,2689.0,4175.0,4035.0
Allendale County,6.0,6.0,8.0,6.0,654.0,663.0,1077.0,745.0,378.0,637.0,746.0,1323.0,2058.0,2215.0,2618.0,2338.0,3414.0,3345.0,3289.0,2840.0,1851.0,1139.0,7.8,10.8,6.7,9.9,12.9,19.4,21.79921038,24.4452398,29.9,31.2,36.91483362,41.83965641,47.7,40.0,26.0998308,20.38296349,9.5,9.3,15.18612521,13.3321403,15.3,22.5,70.2,56.8,326.0,581.0,889.0,1376.0,1546.0,1366.0
Alpena County,7.0,8.0,7.0,7.0,2302.0,2817.0,3410.0,3829.0,1154.0,1608.0,5108.0,7258.0,7166.0,7631.0,7278.0,7790.0,7686.0,6599.0,5324.0,3617.0,2426.0,1490.0,7.5,8.8,8.9,15.4,26.6,34.3,38.36826769,39.27363691,35.5,35.7,34.20434251,36.08653356,26.4,16.9,11.4014475,6.902302312,11.4,13.2,16.02594229,17.73752722,33.4,39.7,50.2,36.1,1365.0,2807.0,5373.0,7334.0,8164.0,8478.0
Alpine County,8.0,4.0,8.0,2.0,177.0,225.0,254.0,496.0,8.0,198.0,98.0,185.0,203.0,207.0,211.0,218.0,101.0,85.0,92.0,93.0,71.0,44.0,3.0,32.4,21.6,23.4,36.1,34.1,33.08364544,35.65365025,27.5,26.0,26.34207241,18.50594228,12.4,11.7,8.8639201,3.735144312,24.0,28.2,31.71036205,42.10526316,37.1,30.3,38.3,13.9,57.0,143.0,267.0,272.0,265.0,420.0
Amador County,6.0,4.0,6.0,3.0,2886.0,4253.0,5422.0,7295.0,593.0,1626.0,2314.0,5491.0,7537.0,7721.0,8055.0,8604.0,2911.0,2987.0,3616.0,4096.0,3612.0,2936.0,8.4,12.6,17.3,21.5,32.0,37.1,40.81116653,42.05328575,36.5,30.2,27.89900249,26.47058824,17.5,16.0,12.51039069,9.032734433,14.0,16.6,18.77944029,22.44339158,32.9,42.7,41.4,23.2,1214.0,2760.0,6593.0,9479.0,11783.0,13669.0
Amelia County,1.0,1.0,1.0,1.0,419.0,760.0,1287.0,1632.0,221.0,349.0,451.0,1270.0,2007.0,2814.0,3433.0,4295.0,3138.0,2951.0,2529.0,2473.0,1818.0,1404.0,5.5,7.0,5.2,8.1,14.4,22.4,26.53932584,24.60921432,34.7,36.1,38.57303371,44.16906623,43.7,31.7,20.42696629,14.43850267,7.2,9.8,14.46067416,16.78321678,11.2,25.5,78.0,59.3,211.0,403.0,833.0,1742.0,2362.0,2393.0
Amherst County,2.0,2.0,2.0,4.0,2014.0,2782.0,3730.0,5134.0,696.0,1573.0,2644.0,3925.0,5724.0,7108.0,7838.0,8115.0,9795.0,9949.0,7702.0,6265.0,4514.0,2553.0,5.0,9.1,5.2,10.6,17.6,24.1,28.067272,29.28171851,30.5,33.4,35.05837098,36.31684941,41.1,29.4,20.19054435,11.4253748,10.7,13.1,16.68381268,22.97605728,19.1,22.7,70.7,57.6,719.0,1839.0,3305.0,5138.0,6275.0,6543.0
Amite County,8.0,5.0,8.0,6.0,715.0,844.0,975.0,725.0,393.0,583.0,1269.0,2007.0,2597.0,3197.0,3287.0,3994.0,5045.0,4092.0,3528.0,2942.0,2234.0,1176.0,5.5,7.8,5.4,10.4,16.8,22.2,28.03013517,35.06994162,31.6,35.6,36.4170175,43.99162903,42.9,32.8,24.75072014,12.95296839,8.7,9.4,10.80212719,7.985460954,17.9,26.9,71.2,54.9,382.0,772.0,1384.0,1998.0,2530.0,3184.0
Anchorage Municipality,2.0,2.0,2.0,4.0,36692.0,46240.0,60034.0,72530.0,9038.0,21984.0,24301.0,36870.0,34504.0,38741.0,42626.0,47142.0,13711.0,10839.0,13139.0,15522.0,14054.0,11534.0,15.9,23.6,17.4,25.1,38.3,37.2,36.32554638,31.83926855,25.2,24.2,23.25502733,24.48998675,9.6,9.7,7.667295879,5.991843944,26.9,28.9,32.75213041,37.67890075,42.7,39.6,24.1,11.7,9878.0,23327.0,52320.0,59428.0,66584.0,61289.0
Anderson County,6.0,4.0,8.0,3.0,421.0,637.0,966.0,823.0,331.0,469.0,1699.0,2226.0,2099.0,2310.0,2256.0,2318.0,2735.0,2204.0,1547.0,989.0,634.0,548.0,6.4,8.6,7.4,10.4,21.7,27.9,29.71199417,29.13945448,40.4,42.3,41.12285818,44.52554745,29.8,18.1,11.55668976,10.52631579,8.1,11.7,17.60845789,15.80868229,33.0,40.7,53.2,40.3,379.0,568.0,1129.0,1523.0,1630.0,1517.0
Andrew County,3.0,2.0,3.0,4.0,1284.0,2038.0,2420.0,3431.0,422.0,883.0,2696.0,3813.0,4128.0,4499.0,4728.0,4874.0,3501.0,2905.0,2029.0,1658.0,1159.0,764.0,5.9,10.5,6.9,10.0,21.6,24.4,29.4642099,28.83709981,43.5,41.5,40.14604738,38.24544884,21.4,15.3,9.841215929,5.994978029,13.5,18.8,20.54852679,26.92247332,37.9,45.2,49.3,34.4,488.0,841.0,2051.0,2652.0,3470.0,3675.0
Andrews County,6.0,5.0,6.0,5.0,803.0,968.0,1294.0,2214.0,443.0,773.0,1787.0,2053.0,2274.0,2548.0,2683.0,3577.0,2666.0,3153.0,3182.0,2504.0,2408.0,2567.0,8.1,11.0,10.4,15.0,23.6,23.0,30.06571742,24.69591855,27.8,32.6,29.38663746,32.22812866,38.8,32.0,26.37458927,23.12820975,9.8,12.4,14.17305586,19.94774304,32.7,29.2,48.8,44.8,567.0,1058.0,1933.0,1795.0,2745.0,2741.0
Androscoggin County,3.0,2.0,3.0,4.0,8382.0,9993.0,13658.0,18317.0,3075.0,6055.0,14809.0,20723.0,25937.0,27944.0,28500.0,28414.0,27599.0,23932.0,18849.0,14023.0,9094.0,5888.0,6.2,10.5,8.7,12.1,20.4,25.3,30.29783762,32.6631944,38.8,40.2,38.75968992,36.3615423,28.2,20.2,12.36774106,7.534903958,12.6,14.4,18.5747314,23.44035934,29.7,35.9,55.4,41.5,4355.0,6985.0,13617.0,17600.0,22278.0,25524.0
Angelina County,5.0,8.0,5.0,7.0,5699.0,7377.0,8373.0,10248.0,1946.0,4010.0,6288.0,10393.0,12309.0,14758.0,16620.0,19383.0,16446.0,16737.0,14965.0,14465.0,11910.0,8603.0,7.3,11.1,7.5,13.7,23.4,27.2,33.36403034,32.79665337,28.6,29.3,30.01083424,34.06921765,34.7,28.8,21.50595883,15.12136818,13.2,14.7,15.1191766,18.0127608,23.6,28.8,61.6,46.4,2006.0,4941.0,10092.0,13690.0,18477.0,18659.0
Anne Arundel County,1.0,1.0,1.0,1.0,67823.0,100078.0,134284.0,186124.0,19004.0,40577.0,48630.0,77965.0,83672.0,91307.0,92139.0,90488.0,67666.0,62985.0,52224.0,44323.0,34440.0,25592.0,12.6,19.0,10.2,15.0,26.2,27.9,28.50326152,26.54468027,30.3,27.9,25.25324782,21.994497,18.9,13.6,9.439236968,6.220528327,24.6,30.6,36.80425369,45.2402944,32.3,36.5,44.9,29.5,15389.0,31948.0,72411.0,91291.0,103997.0,109208.0
Anoka County,1.0,1.0,1.0,1.0,22541.0,39827.0,57226.0,79650.0,6411.0,14030.0,30625.0,49344.0,55655.0,60701.0,65478.0,69231.0,24025.0,20205.0,19272.0,16790.0,14643.0,14552.0,9.3,13.8,11.2,17.7,33.0,37.3,37.21222594,35.03581451,38.3,32.4,29.93307367,27.5191395,13.3,9.0,6.694004059,5.784381534,15.5,21.3,26.16069633,31.66066446,44.5,48.6,34.9,19.9,7733.0,17922.0,47899.0,69804.0,81401.0,88141.0
